1.切符　きっぷ　车票（名词）
  きっぷをかう              きっぷをなくす           きっぷをみせる
  切符を買う                切符を失くす             切符を見せる
  买车票                   丢失车票                出示车票

2.渡す　わたす　传递（动词）
  ペンをわたす            てがみをわたす             おかねをわたす
  ペンを渡す             手紙を渡す                 お金を渡す
  传递笔                 传递信                   传递钱

3.電車　でんしゃ　电车（名词）
  でんしゃがきた           でんしゃにのる         でんしゃがおくれる
  電車が来た             　電車に乗る          　電車が遅れる
  电车来了                搭电车               电车晚点了

4.旅行　りょこう　旅行（名词）
  りょこうがすきです         なつやすみにりょこうします       かぞくとりょこうにいく
  旅行が好きです            夏休みに旅行します              家族と旅行に行く
  我喜欢旅行               暑假要去旅行                    和家人去旅游

5.外国人　がいこくじん　　外国人（名词）
  かれはがいこくじんです      がいこくじんがおおいです         がいこくじんとはなしました
  彼は外国人です             外国人が多いです              　外国人と話しました
  他是外国人                 外国人很多                    我跟外国人聊天了

6.地下鉄　ちかてつ　地下铁（名词）
  ちかてつにのる           ちかてつのえき             ちかてつのきっぷ
  地下鉄に乗る            地下鉄の駅                 地下鉄の切符
  搭地下铁               地下铁车站                  地下铁车票

7.エレベーター　えれべーたー　　电梯（名词）
  えれべーたーにのる         えれべーたーがとまる          えれべーたーをまつ
  エレベーターに乗る         エレベーターが止まる          エレベーターを待つ
  搭电梯                   电梯停止                    等电梯

8.乗る　のる　搭乘（动词）
  ばすにのる                でんしゃにのる              じてんしゃにのる
  バスに乗る                 電車に乗る                 自転車に乗る
  搭乘公车                  搭乘电车                    骑自行车

9.ホテル　ほてる　饭店（名词）
  ほてるにとまる           　ほてるをよやくする          ほてるのへや
  ホテルに泊まる             ホテルを予約する            ホテルの部屋
  住在饭店                  预约饭店                  饭店的房间

10.飛行機　ひこうき　飞机（名词）
  ひこうきがとぶ             ひこうきにのる           ひこうきがおくれる
  飛行機が飛ぶ               飛行機に乗る           　飛行機が遅れる
  飞机飞行                  搭飞机                  飞机延误

11.降りる　おりる　下车（动词）
   ばすをおりる              でんしゃをおりる         えきでおりる
   バスを降りる              電車を降りる             駅で降りる
   下公车                   下电车                  在车站下车

12.自動車　じどうしゃ　汽车（名词）
   じどうしゃをうんてんする　　　じどうしゃがすきです　　　　じどうしゃをかいました
   自動車を運転する            自動車が好きです         自動車を買いました
   开汽车                    喜欢汽车                买了汽车

13.交番　こうばん　警察局（名词）
   こうばんはどこですか　　　　　こうばんにいきましゃう     こうばんがみえます
   交番はどこですか           交番に行きましゃう         交番が見えます
   警察局在哪里？             我们去警察局吧            看得见警察局

14.葉書　はがき　明信片（名词）
   はがきをおくります　　　　　　はがきをかいました         はがきをかきます
   葉書を送ります             葉書を買いました           葉書を書きます
   我要寄明信片               我买了明信片              我要写明信片

15.着く　つく　到达（动词）
   えきにつく                いえにつく               がっこうにつく
   駅につく                  家につく               　学校につく
   到达车站                  达到家                  到达学校

16.バス　ばす 巴士（名词）
   ばすがきた                ばすでいく               ばすていがある
   バスが来た                バスで行く               バス停がある
   巴士来了                 搭巴士去                  有巴士站

17.行く　いく　去（动词）
   がっこうにいく             とうきょうにいく　　　　　　ともだちのいえにいく
   学校に行く                東京に行く               友達の家に行く
   去学校                   去东京                   去朋友家

18.帰る　かえる　回家（动词）
   いまかえります            　かれはもうかえった        なんじにかえる
   今帰ります                　彼はもう帰った           何時に帰る
   我现在回家了               他已经回家了              什么时候回家？

19.お巡りさん　おまわりさん　巡逻员（名词）
    おまわりさんにきこう        おまわりさんがきた        おまわりさんをみた
    お巡りさんに聞こう          お巡りさんが来た         お巡りさんを見た
    问巡逻员吧                 巡逻员来了             看见巡逻用了

20.自転車　じてんしゃ　自行车（名词）
   じてんしゃで　がっこうへいく　　あたらしいじてんしゃをかった　　じてんしゃでこうえんにいく
   自転車で学校へ行く            新しい自転車を買った          自転車で公園にいく
   骑自行车去学习               买了新自行车                 骑自行车去公园

21.渡る　わたる　　过去（动词）
   かわをわたる               どうろをわたる             はしをわたる
   川を渡る                   道路を渡る                橋を渡る
   过河                       过马路                   过桥

22.橋　はし　桥（名词）
   はしをわたる               はしのちかくにすむ           はしをみる
   橋を渡る                  橋の近くに住む               橋を見る

23.外国　がいこく　外国（名词）
   かれはがいこくにいきます     がいこくのげんごをべんきょうします　　かのじょはがいこくじんです
   彼は外国に行きます          外国の言語を勉強します             彼女はがいこくじんです
   他要去外国                 我学习外国语言                   她是外国人

24.タクシー　たくし- 计程车（名词）
   タクシーをよぶ              タクシーでいく             タクシーがきた
   タクシーを呼ぶ              タクシーで行く             タクシーが来た
   叫计程车                   搭计程车去                 计程车来了

25.荷物　にもつ　行李（名词）
   にもつをもっています          にもつがおもいです        にもつをあずけます
   荷物を持っています            荷物が重いです           荷物を預けます
   我拿着行李                   行李很重               我要寄行李

