1.如何　いかが　如何（副词）
  いかがですか？           コーヒーはいかが            ごいけんはいかが？
  如何ですか               コーヒーはいかが          　ご意見は如何？
  如何呢？                 咖啡如何                  你的意见如何？

2.たいへん　たいへん　非常（副词）
  たいへんつかれた          たいへんたのしい        たいへんおいしい
  たいへん疲れた           たいへん楽しい         　たいへん美味しい
  非常累                  非常好玩               非常美味

3.貼る　はる　贴（动词）
  きってをはる            ぽすたーをはる             てーぷをはる
  切手を貼る             ポスターを貼る             テープを貼る
  贴邮票                 贴海报                   贴胶带

4.さあ　さあ　嗯（感叹词）
  さあ、はじめましょう        さあ、どうぞ          さあ、いきましょう
  さあ、始めましょう          さあ、どうぞ        　さあ、行きましょう
  嗯，开始吧                 嗯，请吧             嗯，走吧

5.どうも　どうも　非常（副词）
  どうもありがとう          どうもすみません        どうもおつかれさま
  どうもありがとう          どうもすみません        どうもお疲れ様
  非常感谢                  非常抱歉             非常辛苦了

6.同じ　おなじ　相同（形容动词）
  これとそれはおなじです     かれらはおなじとしです       おなじいるのふくをきています
  これとそれは同じです       彼れは同じ年です            同じいるの服を着ています
  这个和那个是相同的         他们是同年的               穿着相同颜色的衣服

7.みなさん　みなさん　大家（代名词）
   みなさん、こんにちは        みなさん、おつかれさまです     みなさん、ありがとう
   みなさん、こんにちは        みなさん、おつかれさまです     みなさん、ありがとう
   大家，你好                大家，辛苦了                 大家，谢谢

8.どう　どう　怎么（副词）
  どうしたの             どうやっていく             どうおもいますか
  どうしたの             どうやって行く             どう思いますか
  怎么了？               怎么去？                  你怎么想?

9.違う　ちがう　不同（动词）
  これはちがう            こたえがちがう             かれはちがうみちをいく
  これは違う             答えが違う                 彼は違う道を行く
  这是不同的             答案不同                   他走不同的路

10.もっと　もっと　更（副词）
   もっとはやくはしって         もっとべんきょうしる        もっとたべていいよ
   もっと速く走って             もっと勉強知る             もっと食べていいよ
   跑得更快                    多学一些                 可以多吃一点

11.それ　それ　那个（代名词）
   それはねこです          それをください             それがすきです
   それは猫です            それをください            　それが好きです
   那是猫                 请给我那个                喜欢那个

12.どうちら　どうちら　哪个（代名词）
   どうちらがすきですか       どうちらへいきますか      どうちらがあなたのかばんですか
   どうちらが好きですか       どうちらへ行きますが      どうちらがあなたの鞄ですか
   你喜欢哪个                你要去哪里              哪个是你的包

13.それから　そらから　然后（接续词）
   えいがをみて、それからねました　　かいものをして、　それからいえにかえりました
   映画を見て、それから寝ました     買い物をして、それから家に帰りました
   看完电影，然后睡觉             买完东西后，然后回家
   しごとがおわって、　それからしょくじをしました
   仕事が終わって、それから食事をしました
   工作结束后，然后吃饭

14.コピーする　こぴーする　复制（动词）
   ぶんしょうをこびーする　　　しゃしんをこぴーする     データをコピーする
   文章をコピーする         写真をコピーする        　データをコピーする
   复制文章                复制照片                复制资料

15.いるいる　いるいる　各种各样（副词）
   いるいるなくだものがある       いるいるかんがえた　　　いるいるたすけてくれてありがとう
   いるいるな果物がある           いるいる考えた        いるいる助けてくれてありがとう
   有很多水果。                 认真思考过了          谢谢你的各种各样的帮助

16.どうぞ　どうぞ　请（副词）
   どうぞ、おはいりください      どうぞ、おめしあがりください　　どうぞ、おすわりください
   どうぞ、お入りください      　どうぞ、お召し上がりください    どうぞ、お座りください
   请进                       请享用                     请坐

17.とても　とても　非常（副词）
   とてもおいしい          とてもさむい          とてもたかい
   とても美味しい          とても寒い           　とても高い
   非常美味               非常冷               非常高

18.どうして　どうして　为什么（副词）
   どうしてないている       どうしておくれた        どうしてしらない
   どうしてないている        どうして遅れた         どうして知らない
   为什么哭                 为什么迟到            为什么不知打

19.どなた　どなた　　哪位（代名词）
   どなたですか           どなたがせんせいですか         どなたをさがしていますか
   どなたですか           どなたが先生ですか             どなたを探していますか
   你是哪位             　哪位是老师啊                 您在找哪位啊

20.たいせい　大勢　　大多数（名词）
   たいせいのひとがいる       たいせいでいこう    　　　たいせいがあつまった
   大勢の人がいる          　大勢で行こう             大勢が集まった
   有很多人                 我们一起去              聚集了很多人

