第一课
1.到一年了		いちねんになります
2.好久不见		ひさしぶりです
3.托您的福		おかげさまで
4.工作			しごとする
5.受教			勉強になります
6.您好吗		おげんですか
7.日本的生活	日本の生活
8.进行问候		あいさつをしています
9.想做的时候	したいしごとです
10.已经习惯		もうなれました
11.在9月份来的	くがつにきました
12.来日本		日本にきて
13.到多长时候	きってどのぐらいになります
14.正好半年		ちょうど半年です
15.在餐厅工作	レストランで働いています
16.很忙			忙しい
17.是什么样的工作呢	どんなしごとですか
18.在专业学校上学	専門学校にかよっています
19.种菜				やさいを作る
20.在工厂工作		こうじょうで働いています
21.做护理工作		かいごのしごとをする
22.正在干什么		何をしていますか
23.工作怎么样呢		しごとはどうですか
24.每天很辛苦		まいにちたいへんです
25.但是很快乐		でもたのしいです
26.日本的生活怎么样呢	にほんのせいかつはどうですか
27.学习怎么样呢			べんきょうはどうですか
28.学习编程				プログラミングを勉強しています
29.上周很忙				せんしゅうきました
30.什么时候来日本		にほんにきってどのぐらいですか
31.开始工作				しごとはじめる
32.上周来的				せんしゅうきました
33.大家很情切			みんなしんせつです
34.总算习惯了			なんとかなれました
35.不是家庭主妇			かていしゅふじゃないです
36.已经习惯中心生活了	センターのせいかつにもうなれました







第二课
1.看电影		えいがをみる
2.听音乐		おんがくをきく
3.看书			ほんをよむ
4.做饭			りょうりをする
5.吃好吃的东西			おいしいものは何ですか
6.喜欢的是是什么		すきなことはなんですか
7.拍照					しゃしんをとる
8.弹吉他				ピアノ／ギター　を弾きます
9.聊天					おしゃべりをする
10.打网球				テニスをする
11.旅行					りょこうをする
12.打游戏				ゲームをする
13.做菜不喜欢			りょうりをするのがすきじゃないです
14.我喜欢运动			わたしは　スポーツをするのがすきです
15.大家一起吃饭			みんなでごはんをたべます
16.真的愉快				ほんとうにたのしい
17.在家看动漫			うちで　アニメをみます
18.看什么样的动漫		どんなアニメをみるの
19.在公园干什么			こうえんで　なにをしましたか
20.看和打都喜欢			みるのもするのもだいすきです
21.特别喜欢吉卜力的电影			特にジブリのえいがすきです
22.非常喜欢和人交谈				ひととはなすのがすきです
23.也喜欢看书					ほんをよむのもすきです
24.没有什么特别的				とくにない	
25.喜欢的事事聊天				すきのことはおじゃべりです
26.傍晚一起出去好吗				ゆうがた　いしょうにでがけませんか
27.不喜欢出门					でかけるのはあまりすきじゃありません
28.打羽毛球打到傍晚				ゆうがたまで　バドミントンをします
29.孩子多大了					おこさんはなんさいですか
30.各种各样美食					いろいろなおいしいたべもの
31.做事的地点					するばしょ
32.一起做事的同伴				いしょうにするあいて
33.在哪里打						どこでしますか
34.喜欢在家休息					うちでゆっくりするのがすきです
35.经常去海边和山上				よくうみややまにいきます
36.现在学习什么					いまなんにをならっていますか
37.喜欢露营						キャンプがすきです
38.学习插花						いけばなをならっています
39.你会英语吗					えいがができますか
40.和家人视频聊天				家族とネットではなしています



第三课
1.下雨			あめがふる
2.樱花开放		さくらのはながさく
3.这个樱花最有名			ここのさくらが一番有名です
4.红叶漂亮					もみじがきれい
5.蝉在叫					セミが鳴く
6.一整年都是夏天			いちねんじゅうなつです
7.闷热潮湿					むしあつい　じめじめしています
8.变暖						あたたかくなります
9.学校放假					がっこうがやすみになります
10.下雪						ゆきがふる
11.公园变吵闹				こうえんがうるさくなります
12.有什么样季节呢			どんなきせつがありますか				
13.有雨季和干季				うきとかんきがあります
14.干旱季很热				かんきはとてもあついです
15.雨季少稍微凉快些			うきはすごしくなります
16.和日本一样有四季			にほんとおなじ　しきがあります
17.冬季一月变很冷			ふゆのいちばんはとてもさむくなります
18.冬天到零下40度			ふゆはマイナス４０どになります
19.这个月2号和3号去爬山	こんげつのふつかとみっかにやまにいきます
20.我的国家也有四季			わたしくににもしきがあります
21.夏季短，冬季长			なつはとてもみじかいです　ふゆはながいです
22.从10月到5月左右		１０がつごろから５がつごろまで
23.秋天水果好吃				あきはくだものがおいしいです
24.我喜欢炎热天气			わたしはあついのがすきです
25.我最喜欢秋天				わたしはあきがすきです
26.你喜欢什么季节呢			すきなきせつはいつですか
27.我怕冷					さむいのがにがてです
28.因为红叶景色很漂亮		もみじのけしきがきれいですから
29.去海边和山里玩都很开心	うみややまでいきあそぶのもたのしいです
30.想出去旅游				とこかりょこうにいきたいですね
31.我不喜欢寒冷的天气		さむいのはあまりすきじゃないです
32.因为我怕热				わたしはあついのがにがてですから
33.我不喜欢闷热				むしあついのがにがてです
34.为什么呢					どうしてですか
35.这样啊？					そんなんですか
36.冷起来了					さむくなりました
37.在四季当中				しきのなかで
38.雪季最辛苦				ゆきのきせつがいちばんたいへんです
39.12月份白天变短			じゅうにがつにひるがみじかいくなります




第四课
