  辞書形        ない形         ます形       て形         意向形       中文意思
 ------------- -------------- ------------ ------------ ------------ ---------------- 
  なる          ならない       なります      なって        なろう        变成            
  でる          でない         でます        でて          でよう        出现，出来      
  あく          あかない       あきます      あいて        あこう        开              
  つく          つかない       つきます      ついて        つこう        到达，来        
  ながれる      ながれない     ながれます    ながれて      ながれよう    流动            
  きえる        きえない       きえます      きえて        きえよう      消失            
  まがる        まがらない     まがります    まがって      まがろう      弯曲            
  わたる        わたらない     わたります    わたって      わたろう      渡过            
  あずける      あずけない     あずけます    あずけて      あずけよう    寄存，托付      
  つづく        つづかない     つづきます    つづいて      つづこう      继续            
  きこえる      きこえない     きこえます    きこえて      きこえよう    听见            
  はしる        はしらない     はしります    はしって      はしろう      跑              
  わる          わらない       わります      わって        わろう        坏，破坏        
  しらべる      しらべない     しらべます    しらべて      しらべよう    调查，检查      
  なげる        なげない       なげます      なげて        なげよう      投掷            
  うける        うけない       うけます      うけて        うけよう      接受            
  うごく        うごかない     うごきます    うごいて      うごこう      移动            
  おくれる      おくれない     おくれます    おくれて      おくれよう    迟到            
  かんがえる    かんがえない   かんがえます  かんがえて    かんがえよう  思考，考虑      
  かくにんする  かくにんしない  かくにんします  かくにんして  かくにんしよう  确认            
  もうしこむ    もうしこまない  もうしこみます  もうしこんで  もうしこもう  申请            
  たのむ        たのまない     たのみます    たのんで      たのもう      请求，请求帮助  
  こたえる      こたえない     こたえます    こたえて      こたえよう    回答            
  さそう        さそわない     さそいます    さそって      さそう        邀请            
  かう          かわない       かいます      かって        かおう        买              
  おぼえる      おぼえない     おぼえます    おぼえて      おぼえよう    记住            
  要る (いる)   要らない (いらない)  要ります (いります)  要って (いって)  要ろう (いよう)  需要            
  いれる        いれない       いれます      いれて        いれよう      放入，加入      
  やすむ        やすまない     やすみます    やすんで      やすもう      休息            
  かんじる      かんじない     かんじます    かんじて      かんじよう    感觉            
  ころぶ        ころばない     ころびます    ころんで      ころぼう      摔倒            
  とまる        とまらない     とまります    とまって      とまろう      停止            
  かよう        かよわない     かよいます    かよって      かよおう      通勤，往返      
  つづける      つづけない     つづけます    つづけて      つづけよう    继续            
  つたえる      つたえない     つたえます    つたえて      つたえよう    传达            
  たのしむ      たのしまない   たのしみます  たのしんで    たのしもう    享受            
  かわる        かわらない     かわります    かわって      かわろう      变更            
  おりる        おりない       おります      おりて        おりよう      下来            
  たおれる      たおれない     たおれます    たおれて      たおれよう    倒下            
  しまる        しまらない     しまります    しまって      しまろう      关闭            
  やぶれる      やぶれない     やぶれます    やぶれて      やぶれよう    破损            
  ぬれる        ぬれない       ぬれます      ぬれて        ぬれよう      湿润            
  かわく        かわかない     かわきます    かわいて      かわこう      干燥            
  おちる        おちない       おちます      おちて        おちよう      落下            
  おれる        おれない       おれます      おれて        おれよう      折断            
  きれる        きれない       きれます      きれて        きれよう      切断            
  よごれる      よごれない     よごれます    よごれて      よごれよう    脏，污染        
  できる        できない       できます      できて        できよう      能够            
  まぜる        まぜない       まぜます      まぜて        まぜよう      混合            
  ふむ          ふまない       ふみます      ふんで        ふもう        踏              
  のばす        のばさない     のばします    のばして      のばそう      延长            
  たたむ        たたまない     たたみます    たたんで      たたもう      折叠            
  とおる        とおらない     とおります     とおって      とおろう      通过            
  こまる        こまらない     こまります    こまって      こまろう      麻烦            
  ゆれる        ゆれない       ゆれます      ゆれて        ゆれよう      摇晃            
