课  　グループ　　　じしょけい　　　　　　ない形             ます形                て形
4               かう              かわない             かいます              かって　　　　买
6               あう              あわない            あいます              　あって      会面，见面
8               うたう            うたわない           うたいます            　うたって     唱歌
10              ならう         　　ならわない         　ならいます              ならって     学习
10              もらう            もらわない           もらいます            　あらって     得到
13              てつだう        　てつだわない          　てつだいます         　　てつだって  帮忙
13              あらう            あらわない            あらいます             あらって     洗
13              つかう            つかわない            つかいます             つかって    使用
14              はらう            はらわない            はらいます           　はらって     支付
4               かく          　　かかない              かきます              かいて      写
4               きく              きかない            　ききます              きいて      听
5               はたらく        　はたらかない          　はたらきます           はたらいて   工作
14              ひく             ひかない              ひきます               ひいて      弹
14              みがく         　みがかない             みがきます            みがいて      刷
６               いく            いかない              いきます              いって       去
５              およぐ          　およがない          　およぎます             およいで     游泳
１２            ぬぐ            　ぬがない             ぬぎます             　ぬいで       脱
４           　　おろす           おろさない           　おろします          　おろして      取（钱）
１０          　かす             　かさない             かします              かして       借来
１３            けす            　けさない           　けします               けして       关闭、去除
１３            もつ            　もたない           　もちます               もって       拿，有
１４          　まつ             　またない           　もちます               もって      等
１４            たつ              たたない             たちます              たって       站
１４            しぬ            　しなない             しにます              しんで        死
１３            あそぶ           　あそばない          　あそびます          　あそんで      玩
４           　　よむ            　よまない            よみます               よんで       读
５              やすむ          　やますない           やすみます             やすんで      休息
５              おわる          　おわらない          おわります              おわって      结束
５              はじまる         　はじまらない        はじまります            はじまって    开始
５              はいる            はいらない         　はいります             はいって      进（场所+に）
５              つくる          　つくらない          　つくります          　　つくって　　　做，作
６              かえる          　かえらない           かえります              かえって     回
８           　　ある            　ない             　あります                あって       有
８              おどる          　おどらない          おどります               おどって     跳（舞）
９           　　わかる           わからない           わかります           　　おかって     知道
１０            おくる           おくらない           おくります               おくって     送
１２            のぼる           のぼらない           のぼります               のぼって     登
１２          　とまる            とまらない           とまります               とまって    住宿
１２          　かかる            かからない           かかります               かかって    花（时间，费用）
１２          　とる             とらない            　とります               　とって     拍（照片）
１４           すわる            すわらない           すわります               すわって     坐（场所+に）
１４          　のる             のらない            のります                　のって      乘（交通工具）
４           　たべる            たべない            たべます                　たべて      吃
４             みる            　みない             みます                   みて        看
５           　おきる            おきない            おきます                　おきて      起床
５           　ねる             ねない             　ねます                   ねて       睡
８             いる            いない               います                   いて       在
９          　　あける          あけない              あけます                あけて      打开
１０          　あげる        　あげない               あげます                あげて      给
１０          　おしえる       　おしえない            おしえます             　おしえて     教
１０           かける           かける              　かけます               　かけて     打（电话）
１０           かりる           かりない             かります                かりて       借来
１２          　きる（着る）      きない              　きます                きて        穿
１３          　むかえる       　むかえない           むかえます              むかえて      迎接
１４           できる           できない             できます               できて        能
１４          　あびる           あびない             あびます            　あびて        冲
１４           でかける          でかける            でかけない            　でかけて      出门
１４          　おりる           おりない             おります            　おりて        下（交通工具+を）
１４          　はじめる         はじめない         　はじめます          　　はじめて　　　　开始
１４          　みせる        　　みせない           みせます               みせて         给~看
１４          　のせる           のせない           のせます              　のせて        刊登（博客，媒体+に）（报导，照片 + を）
４           　する             しない             します                 して          干
６             くる            こない             きます                 きて           来
１５          　いそぐ          いそがない         　いそぎます          　　いそいで       急
