１．運ぶ（はこぶ）   荷物を運ぶ       ピアノを運ぶ          人を運ぶ
２．泊まる（とまる）  ホテルに泊まる     友達の家に泊まる        一晩止まる（ひとばんとまる）
３．ガソリン      ガソリンが足りない（たりない） 　　ガソリンを入れる      ガソリン価格が上がる（かかくがあがる）
４．スーツケース    スーツケースを持ってきて    　　スーツケースを開ける        スーツケースを詰める（つめる）
５．特急（とっきゅう） 特急電車が来た     特急券を買う（とっきゅうけんをかう）  とっきゅうで行く
６．二階建て（にかいだて）   新しい家は二階建てです     二階建てアパートに住んでいます     彼は二階建て家を建てました（たてました）
７．送る（おくる）   手紙を送る       荷物を送る           友達にプレゼントを送る
８．空港（くうこう）  空港に行きます 　空港で待ちます        くうこうが見えます
９．お土産（おみやげ）　おみやげを買いました      おみやげを持ってきました        おみやげを見つけました（みつけました）
１０．乗り物（のりもの）    電車は便利な乗り物です     彼は自転車で乗り物を使う        バスは安い乗り物だ
１１．
