１．ワイシャツ    ワイシャツをきる     ワイシャツをかう        ワイシャツをあらう
２．買い物（かいもの）　かいものにいく     かいものする          かいものリスト
３．銀行（ぎんこう）  ぎんこうにいきます   ぎんこうはしまっています（閉まっています）      ぎんこうでおかねっをひきだします（引き出します）
４．安い（やすい）   このほんはやすい    　やすいレストラン        やすいふく
５．洋服（ようふく）　あたらしい洋服を買った 　かれはようふくがにある     ようふくをきる
６．万年筆（まんねんひつ）　まんねんひつでかく    まんねんひつをかう    まんねんひつがすき
７．買う（かう）     ほんを買う      のみものを買う     ふくをかう
８．財布（さいふ）　　さいふをなくした     さいふをからだ     あたらしいさいふをかった（買った）
９．いくら       いくらですか      いくらかかりますか       いくらでもかえます（買えます）
１０．お金（おかね）　おかねをかしてください（貸してください）　おかねをせつやくする（節約する）　おかねがたりない（おかねが足りない）
１１．売る（うる）　くるまをうる        ほんをうる       くだものをうる
１２．デパート     デパートで買い物    デパートは広い（ひろい）　　デパートにいく
１３．フィルム     フィルムをかう（買う）     フィルムをつかう（使う）        フィルムがきれる（切れる）
１４．シャツ      シャツをきます（着ます）　　シャツがすきです      シャツを買いました
１５．切手（きって）　切手を買う       切手を貼る        切手集め（きってあつめ）
１６．かす       鉛筆を貸してください（えんぴつをかしてください）　　彼に本を貸した       傘を貸す
１７．テープ      テープを買いました     テープをつかいました（使いました）     テープが切れました（きれました）
１８．欲しい（ほしい）　これがほしい     あたらしいくるまがほしい　   ケーキがほしい
１９．封筒（ふうとう）　封筒を開ける（あける）　　封筒に入れる（いれる）　封筒を買う（かう）
２０．かばん      かばんを持って（もって）　かばんが重い（おもい）    かばんを開ける（あける）
２１．切符（きっぷ）　きっぷを買う（かう）　　きっぷを失くす（なくす）　切符を見せる（みせる）
２２．渡す（わたす）　ペンを渡す       手紙を渡す（てがみ）   お金を渡す
２３．電車（でんしゃ）　でんしゃが来た（きた） 電車に乗る（のる）   電車が遅れる（おくれる）
２４．旅行（りょこう） 旅行が好きです     夏休みに旅行します（なつやすみ）    家族と旅行に行く
２５．外国人（がいこくじん）　彼は外国人です  がいこうじんが多いです（おおい）　外国人と話しました（はなしました）
２６．地下鉄（ちかてつ）　地下鉄に乗る（のる） 地下鉄の駅（えき）   地下鉄の切符（きっぷ）
２７．エレベーター   エレベーターに乗る   エレベーターが止まる（とまる） エレベーターを待つ（まつ）
２８．乗る（のる）   バスに乗る       電車にのる（でんしゃ）       自転車に乗る（じてんしゃ）
２９．ホテル      ホテルに泊まる（とまる）    ホテルを予約する（よやくする）     ホテルの部屋（へや）
３０．飛行機（ひこうき）    飛行機が飛ぶ（とぶ）　　飛行機に乗る      飛行機が遅れる（おくれる）
３１．降りる（おりる） バスを降りる      電車を降りる      駅で降りる
３２．自動車（じどうしゃ）   自動車を運転する（うんてんする）    自動車が好きです    自動車を買いました
３３．交番（こうばん）　　こうばんはどこですか     こうばんに行きましょう     交番が見えます
