４０１．あっち         あっちにいって         あっちがすき                  　あっちをみて
    那边               去那边。                       我喜欢那边。                 看那边。
４０２．後ろ（うしろ）  猫がうしろにいる       うしろを見てください              彼はうしろに立った（たった）
    后面               背后有只猫。                   请看后面。                   他站在后面。
４０３．玄関（げんかん）玄関で靴を脱ぐ（ぬぐ） 　玄関に傘を置く                　　玄関を掃除する
    玄关               在玄关脱鞋。                   在玄关放伞。                   打扫玄关。
４０４．喫茶店（きっさてん）　喫茶店でコーヒーを飲む     喫茶店で勉強する         喫茶店でランチを食べる
    咖啡店             在咖啡店喝咖啡。               在咖啡店学习。               在咖啡店吃午餐。
４０５．へや          部屋がきれいです       部屋を探していました              部屋に入ります（はいります）
    房间               房间很干净。                   在找房间。                   进入房间。
４０６．アパート       アパートに住む      　アパートを探す（さがす）           アパートの部屋
    公寓               住在公寓里。                   找公寓。                     公寓的房间。
４０７．出口（でぐち） 　　　　駅の出口はどこですか  　出口を左に曲がってください      　　この出口からです
    出口               车站的出口在哪里？             请向左转出口。               从这个出口出去。
４０８．郵便局（ゆうびんきょく）　郵便局はどこですか      郵便局で手紙を出す（てがみをだす）　　郵便局で切手を買う（きってをかう）
    邮局               邮局在哪里？                   在邮局寄信。                   在邮局买邮票。
４０９．近い（ちかい）　　　　　　家が近い            えきは近い                   友達がちかい
    近                 家很近。                       车站很近。                   朋友在附近。
４１０．ここ         ここは図書館です（としょかん）  ここで待ってください      ここから歩いて五分です
    这里               这里是图书馆。                 请在这里等。                 从这里走五分钟。
４１１．公園（こうえん）　　公園で遊ぶ（あそぶ）　公園に行く                    公園でピクニック
    公园               在公园玩。                     去公园。                       在公园野餐。
４１２．映画館（えいがかん）  映画館に行こう     　　映画館で映画を見る         映画館はどこですか
    电影院             我们去电影院吧。               在电影院看电影。             电影院在哪里？
４１３．交差点（こうさてん）　交差点を右へ曲がる     交差点で信号待ち（しんごうまち）　交差点には警察がいる（けいさつがいる）
    十字路口           在十字路口向右转。             在十字路口等信号灯。         十字路口有警察。
４１４．そっち             そっちに行く         そっちが好き               そっちが見て
    那边               去那边。                       我喜欢那边。                   看那边。
４１５．地図（ちず）      地図を見て           　地図を持つ                  地図を買う
    地图               看地图。                       拿着地图。                     买地图。
４１６．大使館（たいしかん）　たいしかんはどこですか　彼は大使館で働いています     大使館にいきましょう
    大使馆             大使馆在哪里？                   他在大使馆工作。               我们去大使馆吧。
４１７．熱い（あつい）     今日は暑いです         夏は暑い季節です（あついきせつ）　暑い日には水分補強が大切（すいぶんほきゅうがたいせつ）
    热                 今天很热。                     夏天是炎热的季节。             在炎热的日子里补充水分很重要。
４１８．降る（ふる）      雨がふる              雪が降る                  霧が降り（きりが降る）
    下（雨、雪）        下雨。                         下雪。                         下雾。
４１９．晴れ（はれ）     今日は晴れです          明日は晴れるかな            晴れが好きです
    晴朗               今天是晴天。                   明天会晴吗？                   我喜欢晴天。
４２０．曇り（くもり）   今日は曇りです          明日は曇りかな              曇り日が好き
    多云               今天是阴天。                   明天会阴吗？                   我喜欢阴天。
４２１．晴れる（はれる）　今日は晴れる         　明日も晴れる                 週末は晴れる
    放晴               今天会晴。                     明天也会晴。                   周末会晴。
４２２．天気（てんき） 　今日の天気は晴れです     明日の天気は雨です           天気予報を見ましたか（てんきよほう）
    天气               今天的天气是晴天。             明天的天气是雨。               你看天气预报了吗？
４２３．寒い（さむい） 　今日は寒いです          さむいあさです              冬は寒いです
    冷                 今天很冷。                     早上很冷。                     冬天很冷。
４２４．涼しい（すずしい）　今日はすずしいです     風が涼しいです             涼しい夜
    凉爽               今天很凉快。                   风很凉爽。                     凉爽的夜晚。
４２５．曇る（くもる）    今日は曇る            空が曇る （そらがくもる）   曇るひ
    变阴               今天变阴。                     天空变阴。                     阴天。
４２６．病院（びょういん）　病院に行く         びょういんがちかい           病院で働く
    医院               去医院。                       医院很近。                     在医院工作。
４２７．医者（いしゃ）     彼は医者です      医者に相談しょう（そうだんしょう）　医者が来ました
    医生               他是医生。                     咨询医生。                     医生来了。
４２８．お腹（おなか）　　お腹がすいた        お腹が痛い                　お腹が膨れる（ふくれる）
    肚子               肚子饿了。                     肚子痛。                       肚子胀。
４２９．病気（びょうき）  彼は病気です        病気が治りました（なおりました）    病気の予防が大事（びょうきのよぼうがだいじ）
