３０１．プロ          　　彼はプロの選手だ（せんしゅだ）      プロのカメラマンがきた       彼女はプロの歌手です（かしゅです）
    专业人士      他是专业运动员。        专业摄影师来了。      她是专业歌手。
３０２．労働（ろうどう）   彼は労働者です（ろうどうしゃです）　　労働時間が長い（ながい）          　　労働条件を改善する（ろうどうじょうけんをかいぜんする）
    劳动       他是劳动者。       劳动时间长。     改善劳动条件。
３０３．勤め（つとめ）　　　彼は銀行に勤める       　　彼女は病院で勤めている     彼は教師として勤める
    工作       他在银行工作。     她在医院工作。     他作为教师工作。
３０４．担当（たんとう）　　彼はプロジェクトを担当する     　　　私は英語を担当しています         　　彼女は広報を担当している（こうほうを）
    负责       他负责这个项目。        我负责英语。     她负责公关。
３０５．雇う（やとう）　　　彼は運転手をやった         　　　　家庭教師を雇う予定だ（かていきょうし）　新しい従業員を雇う（じゅうぎょういんをやとう）
    雇佣       他雇了司机。       计划雇一个家庭教师。       雇佣新员工。
３０６．失業（しつぎょう）　彼は失業中だ（しつぎょうちゅう）　　　失業率が上がった（しつぎょうりつがあがった）　失業者が増える（しつぎょうしゃがふえる）
    失业       他正在失业。       失业率上升。     失业者增加。
３０７．提案（ていあん）　　彼は新しい提案をした       提案を検討しましょう（けんとうしましょう）　　その提案は却下された（きゃっかされた）
    提案       他提出了新建议。        我们来讨论这个提案吧。          该提案被驳回。
３０８．引退（いんたい）　　彼は引退を決めた（きめた）　　　　　　彼女は引退後に旅行した（いんたいごに）      引退後の生活は楽しい
    引退       他决定退休。       她退休后去旅行。        退休后的生活很快乐。
３０９．評価（ひょうか）　　評価が高い       評価を下げる            評価基準（ひょうかきじゅん）
    评价       评价很高。         降低评价。         评价标准。
３１０．報告（ほうこく）　　彼は報告を書いた       報告を提出する（ていしゅつする）　　　　　　　報告を受け取る（うけとる）
    报告       他写了报告。       提交报告。         收到报告。
３１１．役割（やくわり）　　彼はリーダーの役割を果たした（はたした）役割を理解してください           　　　　彼女は母親の役割を担う（ははおやのやくわりをになう）
    角色       他扮演了领导者的角色。            理解角色。          她承担母亲的角色。
３１２．能力（のうりょく）　彼の能力は高い         　能力を試すテスト（ためす）       彼女は能力がある
    能力       他的能力很高。     测试能力。         她有能力。
３１３．辞める（やめる）　　彼は会社を辞める        私は仕事を辞めるつもりだ      　彼女は辞める理由がある
    辞职       他辞职了。         我打算辞职。     她有辞职的理由。
３１４．務め（つとめ）　　　彼は社長を務める（しゃちょう）　　　　役割を果たす務め        勤めを果たす（完成职责）
    职责       他担任社长。       完成角色的责任。        履行职责。
３１５．貢献（こうけん）　　彼は会社に貢献した      彼女の貢献は大きい     　環境保護に貢献する（かんきょうほごに）
    贡献       他为公司做出了贡献。       她的贡献很大。     为环境保护做贡献。
３１６．職業（しょくぎょう）彼の職業は医者です      彼女は職業を変えた（かえた）　　　　　　　　職業訓練を受ける（くんれんをうける）
    职业       他的职业是医生。        她换了职业。       接受职业培训。
３１７．生産（せいさん）　　工場で車を生産する      　　農業は食料を生産する（のうぎょうはしょくりょうを）　国内生産が増えた（こくないせいさんがふえた）
    生产       在工厂生产汽车。        农业生产食品。     国内生产增加。
３１８．助手（じょしゅ）　　彼は私の助手です        助手が手伝ってくれた（じょしゅがてつだってくれた）　彼女は研究助手だ
    助手       他是我的助手。     助手帮助了我。     她是研究助手。
３１９．管理（かんり）     彼は会社を管理する           　　　時間の管理が大事だ（だいじだ）        資料の管理をしよう（しりょうのかんりをしょう）
    管理       他管理公司。       时间管理很重要。        管理资料。
３２０．チーム         　彼はチームに入った（はいった）　　　　チームは勝利を目指す（しょうりをめざす）           チームワークが大切だ（たいせつだ）
    团队     他进入了团队。     团队目标是胜利。        团队合作很重要。
３２１．事務（じむ）　　　　彼は事務を処理する（じむをしょりする）事務所は働く（じむしょははたらく）      事務員が電話に出る（でんわにでる）
    事务     他处理事务。       办公室在工作。     办公人员接电话。
３２２．キャプテン　　　　　彼はサッカーチームのキャプテンだ　　　キャプテンが試合の作戦を立てた（しあいのさくせんをたてた）　キャプテンの指示に従ってください（しじにしたがってください）
    队长     他是足球队的队长。      队长制定了比赛策略。       请遵循队长的指示。
３２３．コーチ         　彼は優れたコーチだ（すぐれた）　　　　コーチに相談しょう（にそうだんしょう）      彼女は新しいコーチを探している（さがしている）
    教练     他是优秀的教练。        咨询教练。         她在寻找新教练。
３２４．実行（じっこう）　　計画を実行する（けいかくをじっこうする）実行に移す（うつす）     　　命令を実行する（めいれいを）
    执行     执行计划。         付诸实施。         执行命令。
３２５．オフィス        　オフィスで働く（はたらく）　　　　　　オフィスが近い（ちかい）     　オフィスを探す（さがす）
    办公室      在办公室工作。     办公室很近。       找办公室。
３２６．同僚（どうりょう）　彼は私の同僚です        同僚とランチに行きました     　同僚たちと仕事をします
    同事     他是我的同事。     和同事一起吃午饭。      和同事一起工作。
３２７．働き（はたらき）　　彼は一生懸命働いた      　　彼女は新しい仕事を始めた（はじめた）　　　　　　　　働きすぎは体に悪い（はたらきすぎはからだにわるい）
    工作     他努力工作。       她开始了新工作。     工作过度对身体不好。
３２８．扱う（あつかう）　　彼は機械を扱う（きかいをあつかう）　　この問題を扱う（もんだいをあつかう）　　　　　　　　彼女は客を扱う（きゃくをあつかう）
    处理     他操作机器。       处理这个问题。     她处理客户。
３２９．技師（ぎし）　　　　彼は優れた技師だ（すぐれたぎしだ）　　技師が機械を修理する（きかいをしゅうりする）      技師は新しいプロジェクトに取り組んでいる（とりくんでいる）
    工程师      他是优秀的工程师。      工程师修理机器。        工程师正在进行新项目。
３３０．就職（しゅうしょく）就職活動が始まる（かつどうがはじまる）彼は就職に成功した（しゅうしょくにせいこうした）　　就職先を決めた（しゅうしょくをきめた）
    就职     就职活动开始了。        他成功找到了工作。      决定就业去向。
３３１．組織（そしき）　　　彼は組織を作った（つくった）        組織は大きくなった            組織のリーダーは誰？
    组织     他创建了一个组织。      组织变大了。       组织的领导者是谁？
３３２．給料（きゅうりょう）給料が上がった（あがった）         給料日は金曜日です（きゅうりょうびは）         　　給料をもらった
    工资     工资上涨了。       工资发放日是星期五。       收到工资。
３３３．監督（かんとく）　　彼は映画の監督です      　　監督が試合を見ている          新しい監督が来た（かんとくがきた）
    监督     他是电影的导演。        监督正在观看比赛。      新的监督来了。
３３４．パイロット　　　　　彼はパイロットだ        パイロットが操縦する（がそうじゅうする）        パイロットの訓練を受ける（くんれんをうける）
    飞行员      他是飞行员。       飞行员进行操控。        接受飞行员培训。
３３５．欠ける（かける）　　月が欠ける（つきがかける）         　歯が欠ける（はがかける）         　情報が欠ける（じょうほうがかける）
    缺失     月亮缺失。         牙齿缺损。         信息缺失。
３３６．通じる（つうじる）　彼は話は通じない（つうじない）　　　　　英語が通じる国       この道は通じている
    通用     他说的听不懂。     英语通用的国家。        这条路是通的。
３３７．移す（うつす）　　　荷物を移す         部屋を移す       仕事を移す
    移动     移动物品。         移动房间。         转移工作。
３３８．物音（ものおと）　　物音に驚いた（おどろいた）　　　　　　　物音が聞こえる（きこえる）       　物音を立てる（たてる）
    声音     被声音吓了一跳。        听到声音。         发出声音。
３３９．あっ          　　あっ、忘れた     　あっ、雨が降って来た      　　あっ、彼が来た
    啊       啊，我忘了。       啊，开始下雨了。        啊，他来了。
３４０．覆う（おおう）　　　雪が道を覆った（ふゆがみちをおおった）　彼はマスクで顔を覆う（かおをおおう）           雲が空を覆っている（くもがそらをおおっている）
    覆盖     雪覆盖了道路。     他用口罩遮住了脸。      云覆盖了天空。
