２０１．楽しい（たのしい）       えいがはたのしかった   たのしいパーティーです      たのしい休日（きゅうじつ）を過ごす（すごす）
    快乐               今天的电影很快乐。           这是一个快乐的派对。           享受快乐的假日。
２０２．消える（きえる）       煙が消えた（けむり）　かれは消えた              雲がきえる（くもがきえる）
    消失               烟消失了。                       他消失了。                       云消失了。
２０３．登る（のぼる）         やまを登る       　　階段を登る                 きを登る
    爬                 爬山。                          爬楼梯。                          爬树。
２０４．泳ぐ（およぐ）         彼は泳ぎます        わたしはプールで泳ぐ        なつにうみで泳ぐ
    游泳               他会游泳。                     我在游泳池游泳。              夏天在海里游泳。
２０５．古い（ふるい）         古い家             ふるいほん                古い橋
    古老               旧房子。                         旧书。                           旧桥。
２０６．遠い（とおい）         家が遠いです      　　駅は遠い                  遠い国
    远                 家很远。                         车站很远。                      远国。
２０７．鳴く（なく）           犬がなく            鳥が鳴く                　猫が鳴く
    吼叫               狗叫。                           鸟鸣。                           猫叫。
２０８．ふく                    風が吹いている       笛を吹く                　風船を吹く
    吹                 风在吹。                        吹口哨。                        吹气球。
２０９．動物（どうぶつ）       犬は動物です     動物園にいきます            彼は動物がすき
    动物               狗是动物。                     去动物园。                     他喜欢动物。
２１０．咲く（さく）           花が咲く            桜が咲く                　春に咲く
    开花               花开了。                       樱花开了。                     春天开花。
２１１．広い（ひろい）        部屋がひろい       　公園は広い                道が広い
    宽敞               房间很宽敞。                   公园很宽敞。                   道路很宽敞。
２１２．兄弟（きょうだい）     彼は私の兄弟です　兄弟は二人います         彼女は兄弟がいません
    兄弟               他是我的兄弟。                 有两个兄弟。                   她没有兄弟。
２１３．家族（かぞく）       私の家族は四人です（よにんです）　彼は家族と一緒に住んでいます     家族旅行はたのしい（りょこうはたのしい）
    家族               我家有四个人。                 他和家人一起住。               家庭旅行很快乐。
２１４．おばあさんは          おばあさんは優しい（やさしい） おばあさんが料理する  おばあさんに会いたい（あいたい）
    祖母               祖母很温柔。                   祖母做饭。                     我想见祖母。
２１５．花瓶（かびん）         これは花瓶です     かびんに花を入れる       花瓶が割れた（われた）
    花瓶               这是花瓶。                     把花放进花瓶里。             花瓶破了。
２１６．二人（ふたり）        ふたりで食べます    二人は友達です           二人で旅行します
    两人               两人一起吃。                   两人是朋友。                   两人一起旅行。
２１７．だんな                かれはだんなです    　だんなは働いています       だんなを待っています
    丈夫               他是丈夫。                     丈夫在工作。                   我在等丈夫。
２１８．奥さん（おくさん）   奥さんは料理が上手です（じょうず）　奥さんは先生です       奥さんは病院にいます
    妻子               妻子擅长做饭。                 妻子是老师。                   妻子在医院。
２１９．本棚（ほんだな）     本棚に本を置く（おく）　本棚を買う（かう）　本棚を整理する（せいりする）
    书架               把书放在书架上。             买书架。                       整理书架。
２２０．お兄さん（おにいさん） お兄さんは学生です   お兄さんは優しい    お兄さんは料理が上手
    哥哥               哥哥是学生。                   哥哥很温柔。                   哥哥擅长做饭。
２２１．ベット                ベットで寝る         ベットを買う             ベットを整理する（せいりする）
    床                 在床上睡觉。                   买床。                         整理床。
２２２．家庭（かてい）       私のかていは小さい　彼は家庭を大切にする （たいせつ）　家庭料理が好きです
    家庭               我的家庭很小。                 他重视家庭。                   喜欢家庭料理。
２２３．両親（りょうしん）     両親は医者です（いしゃ）　かれの両親に会いました　　両親が旅行に行きます
    父母               父母是医生。                   我见过他的父母。             父母去旅行。
２２４．叔母さん（おばさん）  おばさん、こんにちわ     おばさんは料理が上手     おばさんに会いに行く
    姨妈               阿姨，您好。                   阿姨擅长做饭。               去看阿姨。
２２５．ストーブ             部屋にストーブがある      ストーブをつけてください    ストーブであたたをとる
    暖炉               房间里有暖炉。                请打开暖炉。                   用暖炉取暖。
２２６．ペット              　犬はペットです            ペットを飼っていますか（かって）　ペットショップに行きます
    宠物               狗是宠物。                     你养宠物吗？                 去宠物店。
２２７．お父さん（おとうさん）  お父さんは仕事中です（しごとちゅう）　おとうさんはしんぶんを読んでいます（読んでいます）　お父さんは料理が上手です
    父亲               父亲正在工作。                 父亲在看报纸。               父亲擅长做饭。
２２８．お母さん              お母さん、ありがとう      お母さん、おはよう       お母さん    お元気ですか
    母亲               妈妈，谢谢。                   妈妈，早上好。               妈妈，您好吗？
２２９．鍵                   かぎをなくした         　鍵をかける              鍵をあげる
    钥匙               我丢了钥匙。                   锁上钥匙。                   送钥匙。
２３０．冷蔵庫（れいぞうこ）  冷蔵庫を開ける     冷蔵庫に入れる         冷蔵庫で冷やす（ひやす）
    冰箱               打开冰箱。                     放入冰箱。                     在冰箱里冷藏。
２３１．女の子（おんなのこ）　彼女は可愛い女の子です  女の子が公園で遊んでいる（あそんでいる）    女の子たちは友達です
    女孩               她是可爱的女孩。             女孩们在公园玩耍。         女孩们是朋友。
２３２．結婚（けっこん）       彼女と結婚する        結婚式に出席する（けっこんしきにしゅっせきする）　結婚記念日を祝う（けっこんきねんびをいわう）
    结婚               和她结婚。                   参加婚礼。                   祝贺结婚纪念日。
２３３．いす                 椅子がある            いすがかいました        椅子に座ってください
    椅子               有椅子。                       买了椅子。                   请坐在椅子上。
２３４．友達（ともだち）      彼は私の友達です       友達と映画を見ました   　友達がたくさんです
    朋友               他是我的朋友。                 和朋友看了电影。           朋友很多。
２３５．大人（おとな）       彼は大人です          大人はしごとがあります     おとなはお酒を飲めます
    大人               他是成年人。                   成年人有工作。               成年人可以喝酒。
２３６．子供                こどもが遊んでいる   こどもたちは学校にいく     かれは子供が三人います
    孩子               孩子们在玩耍。                 孩子们去学校。               他有三个孩子。
２３７．テープレコーダー     テープレコーダーを使う     テープレコーダーを買う        テープレコーダーを壊れた（こわれた）
    磁带录音机         使用磁带录音机。             买了磁带录音机。             磁带录音机坏了。
２３８．伯父（おじ）         伯父は医者です       伯父に会いました        おじは料理が上手です
    叔叔               叔叔是医生。                   见过叔叔。                   叔叔擅长做饭。
２３９．台所（だいどころ）    台所で料理する   台所がきれいだ          台所にいく
    厨房               在厨房做饭。                   厨房很干净。                   去厨房。
２４０．男の子（おとこのこ）  かれはおとこのこです　男の子は走っています（はしっています）   男の子が泣いている（ないている）
    男孩               他是男孩。                     男孩在跑。                   男孩在哭。
２４１．電気（でんき）       電気を消す（けす）  　電気がつく  　　　　　　電気代が高い（でんきだい）
    电                关掉电。                         电亮了。                       电费很贵。
２４２．お姉さん（おねえさん）  お姉さんはきれいです  お姉さんは医者です   お姉さんは料理が上手です
    姐姐               姐姐很漂亮。                   姐姐是医生。                   姐姐擅长做饭。
２４３．クラス              私のクラスは大きいです    彼はクラスで一番です       クラスで友達がたくさんいます
    班级               我的班级很大。                他是班里最棒的。             班里有很多朋友。
２４４．宿題（しゅくだい）   宿題をします      宿題が多い（おおい）　宿題を忘れた（わすれた）
    作业               做作业。                       作业很多。                   忘记了作业。
２４５．図書館（としょかん）  図書館で勉強する　　図書館に行く        図書館で本を借りる（かりる）
    图书馆             在图书馆学习。               去图书馆。                   在图书馆借书。
２４６．勉強（べんきょう）   勉強する            勉強が好き           勉強が必要（ひつよう）
    学习               学习。                         喜欢学习。                   学习是必要的。
２４７．大学（だいがく）     彼は大学に行きます    私の大学は東京です     彼女は大学生です
    大学               他上大学。                     我的大学在东京。             她是大学生。
２４８．作文（さくぶん）     作文を書く          作文の宿題        　　作文コンテスト
    作文               写作文。                       作文作业。                   作文比赛。
